point,e_1,e_2,e_3,e_4,e_5,e_6,e_7,e_8,bars,beat,time_value,finger
83,-0.062992,0.,0.007874,0.015748,0.023622,-0.062992,-0.023622,-0.047244,7,1,0.107634,0
84,0.007874,-0.031496,-0.023622,-0.031496,0.007874,-0.015748,0.,0.047244,7,1,0.088284,0
85,0.047244,0.,0.007874,0.007874,0.007874,-0.007874,0.,-0.007874,7,1,0.068934,0
86,0.007874,0.007874,0.023622,0.015748,0.,0.03937,0.,0.03937,7,1,0.068934,0
87,0.,-0.023622,-0.015748,-0.070866,-0.055118,0.047244,0.007874,0.110236,7,1,0.068934,0
88,-0.023622,0.007874,0.,-0.007874,-0.023622,0.031496,-0.031496,-0.133858,7,1,0.049584,0
89,-0.015748,0.023622,-0.007874,0.047244,0.023622,0.031496,-0.015748,0.007874,7,1,0.030234,0
90,-0.007874,-0.015748,-0.023622,-0.015748,-0.047244,0.07874,-0.015748,0.015748,7,1,0.030234,0
91,-0.015748,-0.015748,-0.007874,-0.086614,-0.023622,0.062992,0.,0.007874,7,1,0.030234,0
92,0.007874,0.015748,0.086614,0.062992,-0.007874,0.023622,0.,0.062992,7,1,0.030234,0
93,0.,0.,-0.015748,-0.015748,-0.03937,-0.023622,0.015748,-0.047244,7,1,0.010884,0
94,-0.015748,-0.015748,-0.031496,0.023622,-0.031496,-0.07874,-0.015748,0.,7,1,0.010884,0
95,-0.015748,-0.023622,-0.03937,-0.031496,0.,0.015748,-0.015748,0.047244,6,4,0.991534,0
96,-0.015748,0.,-0.007874,-0.007874,0.023622,-0.015748,-0.023622,0.007874,6,4,0.991534,0
97,0.,-0.007874,-0.007874,-0.015748,0.031496,-0.015748,-0.015748,0.,6,4,0.991534,0
98,0.023622,-0.015748,-0.015748,-0.015748,-0.023622,-0.03937,0.007874,0.023622,6,4,0.991534,0
99,0.,-0.007874,-0.023622,-0.070866,-0.007874,-0.023622,0.,0.031496,6,4,0.952834,0
100,-0.007874,-0.047244,-0.007874,-0.03937,-0.031496,-0.015748,-0.031496,-0.007874,6,4,0.952834,0
101,-0.031496,-0.007874,0.007874,-0.007874,0.,-0.015748,-0.023622,-0.070866,6,4,0.933485,0
102,0.,0.007874,-0.015748,0.,0.031496,-0.047244,0.,-0.007874,6,4,0.933485,0
103,-0.007874,-0.015748,-0.055118,-0.125984,-0.015748,-0.11811,-0.015748,-0.023622,6,4,0.933485,0
104,-0.03937,0.,0.023622,0.023622,-0.023622,-0.133858,0.,-0.07874,6,4,0.933485,0
105,-0.047244,-0.007874,-0.023622,-0.055118,-0.047244,0.102362,-0.015748,-0.07874,6,4,0.914135,0
106,0.,0.015748,0.,0.007874,0.,0.133858,-0.031496,-0.031496,6,4,0.914135,0
107,-0.062992,0.,0.086614,0.275591,0.03937,0.023622,-0.023622,0.023622,6,4,0.914135,0
108,0.07874,0.,-0.03937,-0.047244,-0.031496,-0.007874,0.023622,0.015748,6,4,0.914135,0
109,0.031496,-0.031496,0.023622,0.,0.03937,0.03937,0.047244,-0.031496,6,4,0.875435,0
110,0.031496,-0.007874,0.023622,-0.023622,-0.031496,-0.062992,0.007874,0.023622,6,4,0.875435,0
111,0.062992,0.031496,-0.031496,0.015748,-0.007874,-0.070866,-0.023622,-0.031496,6,4,0.856085,0
112,-0.062992,-0.015748,-0.055118,-0.031496,-0.023622,-0.133858,-0.015748,0.007874,6,4,0.856085,0
113,-0.047244,-0.015748,-0.03937,0.,-0.062992,-0.094488,-0.031496,0.,6,4,0.836735,0
114,0.03937,0.023622,0.007874,-0.031496,-0.047244,-0.07874,-0.031496,0.047244,6,4,0.836735,0
115,-0.023622,-0.015748,-0.023622,0.,0.023622,-0.070866,-0.015748,0.086614,6,4,0.836735,0
116,-0.031496,-0.015748,-0.007874,0.007874,-0.03937,-0.086614,-0.015748,0.023622,6,4,0.836735,0
117,-0.015748,0.,0.015748,-0.007874,0.015748,-0.031496,0.,0.03937,6,4,0.817385,0
118,0.023622,-0.015748,0.015748,0.03937,0.07874,0.141732,-0.007874,0.062992,6,4,0.817385,0
119,0.,-0.007874,-0.03937,-0.055118,-0.125984,0.188976,0.007874,-0.023622,6,4,0.798035,0
120,0.03937,0.007874,0.007874,-0.062992,0.015748,0.314961,-0.015748,-0.047244,6,4,0.798035,0
121,0.,-0.015748,0.047244,0.094488,0.023622,0.023622,0.007874,0.212598,6,4,0.778685,0
122,-0.07874,-0.023622,-0.031496,-0.023622,0.03937,-0.031496,0.023622,0.,6,4,0.778685,0
123,-0.007874,-0.015748,0.,-0.015748,0.023622,-0.070866,-0.031496,-0.03937,6,4,0.759335,0
124,-0.031496,-0.015748,-0.007874,0.015748,-0.007874,-0.070866,-0.015748,0.062992,6,4,0.759335,0
125,-0.007874,0.007874,0.031496,0.023622,0.031496,-0.047244,-0.015748,-0.062992,6,4,0.759335,0
126,-0.047244,0.007874,0.,0.031496,0.,0.023622,0.03937,0.015748,6,4,0.759335,0
127,0.047244,0.007874,-0.007874,-0.007874,-0.007874,-0.047244,0.,0.03937,6,4,0.739985,0
128,-0.007874,-0.015748,-0.007874,0.,-0.031496,-0.055118,-0.007874,-0.007874,6,4,0.739985,0
129,0.015748,-0.023622,-0.007874,0.,-0.015748,-0.03937,0.,0.220472,6,4,0.720635,0
130,-0.015748,-0.031496,-0.007874,0.007874,0.015748,0.031496,0.03937,0.070866,6,4,0.720635,0
131,-0.062992,-0.023622,-0.047244,0.007874,-0.015748,-0.03937,-0.062992,-0.007874,6,4,0.701285,0
132,-0.031496,-0.047244,-0.110236,-0.141732,-0.031496,-0.062992,-0.007874,0.023622,6,4,0.701285,0
133,0.,0.,0.023622,-0.023622,-0.031496,-0.03937,-0.031496,-0.023622,6,4,0.681935,0
134,0.007874,0.007874,0.023622,0.07874,0.03937,-0.031496,0.007874,0.015748,6,4,0.681935,0
135,-0.007874,0.047244,0.102362,0.102362,0.055118,0.070866,0.007874,0.023622,6,4,0.662585,0
136,-0.023622,0.023622,0.015748,-0.03937,-0.007874,0.023622,0.015748,0.031496,6,4,0.662585,0
137,-0.015748,0.,-0.047244,0.03937,0.,0.094488,-0.047244,-0.007874,6,4,0.643235,0
138,0.015748,-0.015748,-0.023622,-0.133858,-0.031496,-0.023622,0.015748,0.03937,6,4,0.643235,0
139,-0.03937,-0.023622,-0.023622,-0.055118,-0.023622,-0.055118,-0.023622,0.015748,6,4,0.643235,0
140,0.062992,-0.023622,-0.015748,-0.070866,0.,-0.031496,0.015748,0.007874,6,4,0.643235,0
141,0.031496,-0.015748,0.03937,0.07874,0.062992,-0.055118,-0.031496,0.11811,6,4,0.604535,0
142,-0.055118,-0.007874,-0.031496,-0.047244,-0.15748,-0.062992,-0.086614,-0.047244,6,4,0.604535,0
143,-0.03937,-0.015748,-0.023622,-0.03937,0.007874,0.023622,0.047244,0.055118,6,4,0.604535,0
144,0.031496,-0.031496,-0.015748,-0.062992,0.023622,0.03937,0.007874,0.102362,6,4,0.604535,0
145,0.031496,0.023622,0.055118,0.086614,0.007874,0.047244,-0.007874,-0.125984,6,4,0.565835,0
146,0.,-0.023622,-0.047244,-0.125984,-0.031496,0.,0.023622,0.007874,6,4,0.565835,0
147,0.031496,0.023622,0.03937,0.125984,0.070866,0.023622,-0.007874,0.15748,6,4,0.565835,0
148,-0.062992,0.015748,-0.015748,-0.070866,-0.03937,-0.102362,-0.03937,0.031496,6,4,0.565835,0
149,-0.007874,-0.047244,-0.055118,-0.07874,-0.055118,-0.023622,0.031496,-0.086614,6,4,0.546485,0
150,-0.023622,0.023622,0.031496,0.055118,0.015748,0.007874,-0.070866,0.047244,6,4,0.527135,0
151,-0.007874,-0.031496,-0.023622,0.007874,0.031496,0.023622,0.047244,0.007874,6,4,0.527135,0
152,0.055118,0.,-0.062992,-0.141732,-0.047244,0.07874,-0.031496,-0.031496,6,4,0.527135,0
153,-0.015748,-0.023622,-0.070866,-0.031496,-0.023622,-0.086614,0.007874,0.141732,6,4,0.507785,0
154,-0.007874,0.015748,0.015748,0.015748,-0.015748,-0.047244,-0.015748,0.03937,6,4,0.507785,0
155,-0.007874,0.007874,0.,-0.070866,-0.11811,-0.015748,-0.023622,-0.015748,6,4,0.507785,0
156,0.015748,0.007874,0.188976,0.574803,0.141732,0.03937,0.007874,0.062992,6,4,0.488435,0
157,0.015748,-0.047244,-0.133858,-0.377953,-0.07874,0.,-0.031496,-0.03937,6,4,0.469085,0
158,-0.015748,-0.007874,-0.047244,-0.047244,-0.023622,0.031496,-0.023622,-0.03937,6,4,0.469085,0
159,0.,0.,0.,-0.015748,-0.015748,0.015748,-0.007874,0.062992,6,4,0.469085,0
160,-0.07874,0.,-0.023622,0.015748,0.,0.055118,0.007874,0.055118,6,4,0.449735,0
161,-0.047244,0.023622,0.,-0.007874,-0.015748,-0.031496,0.015748,-0.031496,6,4,0.430385,0
162,0.,-0.023622,0.007874,0.007874,-0.015748,0.,0.,-0.055118,6,4,0.430385,0
163,0.015748,-0.031496,-0.015748,0.,0.,-0.031496,-0.007874,0.015748,6,4,0.430385,0
164,0.015748,-0.007874,-0.015748,-0.055118,-0.023622,-0.015748,-0.03937,-0.03937,6,4,0.430385,0
165,0.,-0.015748,-0.015748,-0.023622,-0.047244,0.007874,-0.007874,-0.015748,6,4,0.411036,0
166,-0.015748,-0.015748,-0.015748,-0.03937,-0.007874,0.015748,-0.031496,-0.015748,6,4,0.411036,0
167,0.007874,-0.007874,-0.015748,0.,0.007874,0.,0.015748,-0.023622,6,4,0.391686,0
168,0.,-0.007874,-0.015748,-0.015748,-0.03937,-0.03937,-0.015748,0.015748,6,4,0.391686,0
169,-0.015748,-0.007874,-0.007874,-0.031496,-0.015748,0.015748,-0.007874,-0.062992,6,4,0.372336,0
170,-0.007874,0.015748,0.031496,0.031496,0.086614,0.07874,0.015748,-0.031496,6,4,0.372336,0
171,-0.007874,-0.023622,-0.015748,-0.055118,-0.062992,-0.133858,-0.015748,0.031496,6,4,0.372336,0
172,-0.023622,0.007874,-0.015748,-0.007874,-0.047244,-0.086614,-0.007874,0.015748,6,4,0.372336,0
173,0.,-0.015748,0.,0.015748,0.07874,-0.047244,-0.007874,0.,6,4,0.333636,0
